#Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,DRN,Recaptació líquida
3131,31902,Inspecció i control sanitari d'establiments,5087.2,,5087.2,3179.5,763.08
1511,32100,Taxes per llicències urbanístiques,200000.0,,200000.0,169405.87,160898.87
1320,32500,Expedició de documents,55000.0,,55000.0,64744.7,64235.7
1551,32600,Servei de grua,383067.17,,383067.17,275356.52,275356.52
1551,32900,Elements publicitaris a la via pública,20000.0,,20000.0,37067.5,37067.5
1551,32901,Publicitat autobusos,20000.0,,20000.0,6292.8,6292.8
1551,32902,Llicències d'autotaxis i vehicles de lloguer,200.0,,200.0,90.0,90.0
1514,32903,Llicència d'obertures d'establiments,307724.0,,307724.0,322204.76,290915.09
4311,32904,Serveis de mercat,416463.0,,416463.0,425546.61,358919.26
9204,32905,Taxa d'inscripció per a la selecció de personal,1000.0,,1000.0,22.3,22.3
1551,33000,Taxa dipòsit de vehicles,9000.0,,9000.0,5437.9,5437.9
1551,33001,Reserves per estacionament,7000.0,,7000.0,35416.1,35416.1
1551,33100,Entrada de vehicles en edificis,935618.38,,935618.38,989085.69,895365.51
1551,33101,Altes guals inspecció,49191.0,,49191.0,,
1551,33102,Plaques de gual,4500.0,,4500.0,3841.79,3841.79
9320,33200,Taxa per utilit. privat. o aprofit. especial per emp.explot,1100000.0,,1100000.0,1206209.19,906777.95
9320,33300,Taxa per utilit. priv. aprofit. esp.emp.expl. telecomunic,,,,53903.46,38432.58
1552,33400,Obertura de rases (canalitzacions),40000.0,,40000.0,54118.05,54118.05
1551,33500,Ocupació via pública taules i cadires,75000.0,,75000.0,89969.33,84186.19
1551,33600,Talls de trànsit,20000.0,,20000.0,9051.7,9051.7
9320,33800,Taxa ocupació telefònica,250000.0,,250000.0,241772.85,241772.85
1551,33901,Taxes ocupació via pública per construcció,20000.0,,20000.0,18660.4,18660.4
9120,33902,Taxa per casaments,200.0,,200.0,,
4311,33903,Mercadal,75744.0,,75744.0,58478.29,57261.26
1551,33904,Parades i fires,60000.0,,60000.0,63513.8,63104.3
4321,33906,Lloguer d'espais RUBI+D,500.0,,500.0,8481.28,8481.28
3350,33907,Lloguers del Teatre Municipal La Sala,17000.0,,17000.0,4473.4,4473.4
3350,33908,Lloguers de l'auditori,3500.0,,3500.0,12479.5,12479.5
3320,33909,Lloguer Biblioteca,2500.0,,2500.0,795.0,795.0
9241,33910,Lloguer Ateneu,1200.0,,1200.0,115.0,100.0
3420,33911,Lloguer d'instal·lacions esportives,,,,5057.0,4857.0
,,TAXES,9028028.25,,9028028.25,9085038.04,8077246.07
2330,34100,Preu públic transport adaptat gent gran,50955.96,,50955.96,36200.1,30951.05
2310,34102,Preu públic llar tutelada Ca n'Alzamora,40824.0,,40824.0,34303.5,31185.0
2310,34103,Preu públic transport adaptat disminuits,40840.0,,40840.0,33180.7,29672.86
3211,34200,Preu públic escola bressol La Lluna,290493.0,,290493.0,298594.66,265103.3
3210,34201,Preu públic escola bressol Sol Solet,323464.0,,323464.0,309532.9,272721.61
3213,34202,Preu públic escola bressol la Bruna,236252.0,,236252.0,266237.73,235672.97
3222,34204,Rebuts escola de música,320526.21,,320526.21,304182.68,266207.14
3230,34205,Casals,18000.0,,18000.0,10733.0,9469.0
9122,34207,Preu públic formació soc. informació,8295.0,,8295.0,3290.0,3290.0
2320,34300,Cursos de ioga,15125.0,,15125.0,14150.0,12725.0
3350,34400,Venda d'entrades espectacles temporada,,,,21188.97,21188.97
3382,34401,Venda d'entrades per Festa Major,20000.0,,20000.0,3504.0,3504.0
,,PREUS PÚBLICS,1364775.17,,1364775.17,1335098.24,1181690.9
1551,35001,CE Carrer Aneto i Altres,,60739.58,60739.58,,
1500,35003,Contribucions especials La Perla,,,,-1278.09,-1278.09
1551,35004,CE Polígon 1 subsector D1 increment d'obra,,3569.92,3569.92,902.8,902.8
1551,35007,Contribucions especials carrer cèrvol,,,,,
1551,35011,CE Polígon 2 subsector D1,,,,422442.87,342384.71
1552,35034,Contribucions especials sector 38 Can Ximelis,,401319.26,401319.26,,
15001,35901,Quotes urbanístiques PERI 22.1,,,,,
15004,35950,Quotes urbanístiques urbanització Sant Muç,,,,,
4320,36000,Vendes botiga de Rubí,7000.0,,7000.0,5854.11,5854.11
9208,36002,Subminitr instal·lació fotovoltaica (RD 661/2007) subgr b1.1,1000.0,,1000.0,3859.55,3665.66
9320,38900,Reintegrament operacions corrents,,,,22757.55,22757.55
15111,39100,Multes per infraccions urbanístiques.,35000.0,,35000.0,10353.0,8852.5
15112,39100,Multes coercitives urbanisme,20000.0,,20000.0,93900.0,14957.7
17201,39100,Multes per infraccions urbanístiques (sòl no urbanitzable),10000.0,,10000.0,-100.0,-400.0
17202,39100,Multes per infracció medi ambient,5000.0,,5000.0,,
9320,39110,Multes per infraccions tributàries i anàlogues.,70000.0,,70000.0,139045.5,63020.86
1320,39120,Multes per infraccions de circulació,1000000.0,,1000000.0,1960673.01,805707.44
1514,39190,Multes infraccions resta reglaments municipals,35000.0,,35000.0,76732.98,23121.43
9320,39200,Recàrrec per declaració extemporánea sense requerimi. Previ,10000.0,,10000.0,42971.51,13047.22
9320,39210,Recàrrec executiu 5%,,,,205.78,
9320,39211,Recàrrec d'apressament 10% i 20%,500000.0,,500000.0,585263.34,585263.34
9320,39300,Interessos de demora,115000.0,,115000.0,188585.52,136429.04
15001,39610,Quotes urbanístiques PERI 22.1,,214161.8,214161.8,6494.18,614.91
15002,39610,Quotes urbanístiques sector A4,,319940.59,319940.59,,
15003,39610,Quotes urbanístiques Immob. Tamara,,9864.01,9864.01,1241202.48,34364.13
15004,39610,Quotes urbanístiques urbanització Sant Muç,,3780917.99,3780917.99,94409.3,48304.21
15005,39610,Quotes d'urbanització polígon 2 subsector D1,,,,16321.33,
9203,39800,Indemnitzacions assegurances,1.0,,1.0,13259.42,13259.42
9201,39901,Reintegrament anuncis publicacions,3000.0,,3000.0,3154.39,3154.39
9320,39902,Imprevistos,500.0,,500.0,21850.11,21850.11
1511,39904,Execucions subsidiàries (relacionada amb despesa),85000.0,,85000.0,,
9320,39905,Ingressos per serveis bancaris,1000.0,,1000.0,821.79,821.79
9208,39907,Subministraments Club Natació Rubí,250000.0,,250000.0,320022.85,320022.85
9203,39908,Condemna en costes a favor de l'entitat,,,,23839.3,23839.3
,,ALTRES,2147501.0,4790513.15,6938014.15,5293544.58,2490517.38
,,"3. TAXES, PREUS PÚBLICS I ALTRES INGRESSOS",12540304.42,4790513.15,17330817.57,15713680.86,11749454.35
2321,42000,Subvenció Secretaria d'Immigració,43000.0,,43000.0,20000.0,
4410,42000,Subvenció de l'administració central pel transport urbà,100000.0,,100000.0,80286.18,80286.18
9201,42000,Subvencions per processos electorals,1000.0,,1000.0,,
9320,42000,Participació en els Tributs de l'Estat.,11940729.79,,11940729.79,14583608.16,14583062.85
93201,42020,Compensació per beneficis fiscals. (IBI-escoles concertades),143613.24,,143613.24,,
93202,42020,Compensació por beneficis fiscals (IAE-Cooperatives),46129.05,,46129.05,44405.45,44405.45
9320,42090,Revisió cens electoral,,,,784.08,784.08
1320,42200,Suvenció per l'adquisició de vehicles elèctrics,,,,,
,,ESTAT,12274472.08,,12274472.08,14729083.87,14708538.56
9320,45000,Participació en tributs de la CCAA  Fons de Cooperació Local,464321.0,,464321.0,463767.19,
9201,45001,Subvencions per processos electorals,,22602.0,22602.0,22602.0,22602.0
9320,45001,Altres transferències Generalitat de Catalunya,30000.0,2863.0,32863.0,4386.08,4072.33
2320,45002,Subv. Generalitat - Institut Català de la dona,34500.0,,34500.0,,
23101,45002,CP Fitxa 12 Centres ocupacionals persones discapacitades,140459.79,,140459.79,140459.79,133436.8
23102,45002,CP Fitxa 10 Llar residència per a persones amb discapacitat,219879.6,,219879.6,326790.64,310451.11
23111,45002,CP Fitxa 1 Serveis  Socials bàsics professionals,563343.0,,563343.0,548132.69,163932.8
23112,45002,CP Fitxa 6 Resposta urgent dones en sit. violència i fills,33462.0,,33462.0,33462.0,31788.9
23113,45002,CP Fitxa 2 Intervenció socio educativa infants i adolescents,31000.0,,31000.0,31000.0,29450.0
23114,45002,CP Fitxa 1. Ajuts d'urgències socials,51275.0,,51275.0,51275.0,48711.25
23115,45002,CP Fitxa 25 Suport a famílies situació vulnerabilitat,6691.0,,6691.0,,
23211,45002,CP Fitxa 7 Acollida i integració persones inmigrades,51821.86,,51821.86,51821.86,51821.86
23212,45002,CP Fitxa 1 Projecte Igloo,,,,,
23213,45002,CP Fitxa 23.1 Pla Pilot Serveis Socials,,,,6691.0,6356.45
23214,45002,CP Fitxa 8 Programa d'inclusió social,75849.9,,75849.9,72057.41,72057.41
23215,45002,Gencat - Pla Desenv. Comunitari Treball als barris,45455.0,,45455.0,45455.0,
23301,45002,CP Fitxa 1. SAD Social,220505.68,,220505.68,64677.43,40169.81
23302,45002,CP Fitxa 9 . Servei de transport adaptat,40691.85,,40691.85,40691.85,38657.26
23303,45002,CP Fitxa 1. SAD Dependència,751511.48,21180.33,772691.81,700837.84,700837.84
3211,45030,Gencat - Escola Bressol Lluna,190400.0,,190400.0,,
3213,45030,Gencat  - Escola Bressol Bruna,174400.0,,174400.0,,
3221,45030,Gencat - Escola d'Art,316031.23,,316031.23,,
3222,45030,Gencat - Escola de Música,155940.0,,155940.0,,
3230,45030,Gencat .- Pla educatiu d'entorn,124546.0,,124546.0,124546.0,46082.0
32101,45030,Gencat - Reducció quotes famílies desfavorides,44100.0,,44100.0,,
32102,45030,Gencat  - Escola Bressol Sol Solet,185600.0,,185600.0,,
2410,45050,Gencat - Subvencions en materia d'ocupacio (IMPES),,617515.94,617515.94,1789803.12,322370.44
4310,45050,Gencat - Subvencions comerç i teixit comercial,,,,2800.0,
4330,45050,Gencat - Subvencions serveis a les empreses,,45052.38,45052.38,117164.62,105602.12
1620,45080,Subvencions diverses de residus i medi ambient,,,,,
3130,45080,Subvenció Generalitat - Examen Salut Escolar,,,,,
3340,45080,Gencat - Centre de Dansa Tradicional Espona,40000.0,,40000.0,,
3350,45080,Gencat - Arts escèniques,5054.0,,5054.0,,
93201,45080,SCS - Prog. Atenció salut mental infatil i juvenil,,,,,
93202,45080,SCS - Prog. atenció salut mental d'adults,,,,,
93203,45080,SCS - Centre de dia de salut mental,,,,,
93204,45080,SCS - Prog. sanitari d'atenció a la dona,,,,,
93205,45080,Subv. Gencat Interessos i Amortització Préstec Biblioteca,,264868.69,264868.69,264868.69,264868.69
,,GENERALITAT,3996838.39,974082.34,4970920.73,4903290.21,2393269.07
4321,46100,DIBA - Ajuts per a processos de planificació estratègica,20000.0,,20000.0,20000.0,20000.0
9121,46101,"Subvencions diverses Diputació,",,,,,
9320,46101,"Subvencions diverses Diputació,,",30000.0,,30000.0,260874.82,260874.82
2321,46102,DIBA - Programa civisme i ciutadania,14070.12,,14070.12,14070.12,14070.12
9240,46103,DIBA - Ajuts de participació ciutadana,,9238.0,9238.0,,
2320,46104,DIBA - Politiques d'igualtat de gènere CIRD,24000.0,,24000.0,24000.0,24000.0
9121,46105,DIBA - Subvenció 50 aniversari de la rierada de Rubí,,20000.0,20000.0,,
9250,46106,DIBA - Serveis municipals de consum,11400.0,,11400.0,11400.0,11400.0
3420,46107,DIBA - Ajuts per adquisició de material esportiu,,,,5700.0,5700.0
3340,46108,DIBA - Desenv. cultural: Cultura i proximitat,29588.0,,29588.0,29588.0,29588.0
3410,46109,DIBA - Ajuts per al desenvolupament de programes esportius,7194.0,,7194.0,7194.0,7194.0
3410,46110,DIBA - Ajuts per activitats esportives puntuals,6940.0,3000.0,9940.0,6940.0,6940.0
2311,46112,DIBA - Finançament dels serveis socials municipals,107665.78,,107665.78,96962.72,96962.72
2330,46113,DIBA - Finançament dels serveis d'atenció domiciliària,60626.56,,60626.56,79777.73,79777.73
3370,46117,DIBA - Ajuts Plans Locals de joventut,17102.0,,17102.0,17102.0,17102.0
2311,46118,DIBA - Ajuts programes d'accions per a la inclusió,10000.0,,10000.0,10000.0,10000.0
3130,46119,DIBA - Ajuts per al desenvolupament de programes i desenvolu,8100.0,,8100.0,8100.0,8100.0
3131,46120,DIBA - Ajuts per al desenv. programes seguretat alimentària,7650.0,,7650.0,7650.0,7650.0
3131,46121,DIBA - Ajuts per a la prevenció de plagues urbanes i legione,8900.0,,8900.0,8900.0,8900.0
3132,46122,DIBA - Ajuts per activi.  relacionades animals de companyia,1000.0,,1000.0,1000.0,1000.0
3130,46123,DIBA - Ajuts pel Pla Municipal prevenció drogodependència,8600.0,,8600.0,8600.0,8600.0
4321,46125,DIBA - Ajuts per als observatoris del desenvolupament local,21600.0,,21600.0,21600.0,21600.0
3222,46126,"DIBA - Ajuts per a escoles municipals de música i arts,",,,,,
3231,46126,"DIBA - Ajuts per a escoles municipals de música i arts,,",26389.0,,26389.0,26389.0,26389.0
3230,46127,"DIBA - Ajuts programa """""""""""""""" Coneixem els nostres parcs""""""""""""""""",1595.54,,1595.54,1669.2,1669.2
2321,46128,DIBA - Conveni Servei de Mediació ciutadana,30000.0,,30000.0,30000.0,30000.0
1340,46129,DIBA - Ajuts per prevenció d'incendis forestals,,21450.0,21450.0,,
3350,46130,DIBA - Ajuts Suport a les polítiques de difusió artística,,,,,
3360,46131,DIBA- Ajuts Xarxa museu i patrimoni cultural,2900.0,,2900.0,7026.0,7026.0
4310,46132,DIBA-Ajuts Dinamització teixit comercial (comerç),33500.0,,33500.0,33500.0,33500.0
4321,46133,DIBA - Polítiques de teixit productiu (OSE),29130.0,,29130.0,,
4330,46133,DIBA - Polítiques de teixiti productiu (OSE),,109110.0,109110.0,28731.0,28731.0
4320,46134,DIBA-Ajuts promoció turísitca del territori,,,,,
2410,46136,DIBA - Promoció de l'ocupació (IMPES),,132259.21,132259.21,178691.77,178691.77
3340,46137,DIBA - Ajuts esdeveniments artístics : RUBIFOLK,18500.0,,18500.0,18500.0,18500.0
3230,46138,DIBA -  Ajuts casals d'infants d'escoles,,,,,
3231,46138,DIBA -  Acompanyament a l'escolaritat (casals),3313.0,,3313.0,3313.0,3313.0
3213,46139,DIBA - Ajuts suficiència alimentària escoles bressol,8240.0,,8240.0,10967.0,10967.0
2311,46140,CONSELL COMARCAL-Ajuts de menjador escolar,280000.0,58032.0,338032.0,421731.54,203199.67
4410,46141,Consell Comarcal subvenció transport escolar,100000.0,,100000.0,85739.25,
3230,46142,DIBA - Campanya d'espectacles,,,,7408.02,7408.02
3420,46143,DIBA - Instal·lacions esportives,,,,,
9320,46144,Consell Comarcal - Subvencions diverses,,,,26788.63,
4321,46153,Subvencions promoció de la ciutat,,,,,
9122,46155,Subvencions societat de la informació,,,,,
4330,46156,DIBA Plataforma digital serveis empr. on line NET RUBI,,,,49982.86,49982.86
9320,46157,Subvenció ORGT,,,,,
3221,46201,Subvencions d'Ajuntaments,,1230.0,1230.0,1230.0,1230.0
4410,46400,AMTU-Pla de millora del transport col·lectiu urbà,264127.68,,264127.68,298388.47,243660.19
3130,46600,FEMP - Xarxa Espanyola de ciutats saludables,3443.95,,3443.95,1300.0,
2410,46700,Subv. Consorci per l'ocupació i la promoc. econ del Vallès,244156.09,92709.25,336865.34,73374.87,68998.74
,,DIPUTACIÓ,1439731.72,447028.46,1886760.18,1944190.0,1552725.84
3382,47000,Patrocinis Festa Major,5000.0,,5000.0,7000.0,7000.0
3230,48000,Subvencions Institucions i particulars sense fi de lucre,900.0,,900.0,8989.7,8989.7
4330,49700,FEDER Plataforma digital serv empresarials on line Net Rubí,,,,,
,,ALTRES,5900.0,,5900.0,15989.7,15989.7
,,4. TRANSFERÈNCIES CORRENTS,17716942.19,1421110.8,19138052.99,21592553.78,18670523.17
9320,52000,Interessos de dipòsits,35000.0,,35000.0,233312.17,233312.17
9320,52001,Interessos de derivats de préstecs,,,,42265.78,42265.78
9320,54100,Arrendaments fiques urbanes,190000.0,,190000.0,196548.0,
9320,55000,Concessions administratives,10000.0,,10000.0,,
1640,55001,Cànon serveis cementiri,,,,10322.87,10322.87
9320,55002,Concessions ninxols cementiri,12000.0,,12000.0,63870.94,63870.94
,,5. INGRESSOS PATRIMONIALS,247000.0,,247000.0,546319.76,349771.76
3360,72006,De l'Administració General de l'Estat.,,,,,
1320,72200,Subvenció de Fundació SITVE Nacional per compra de Motos,,4816.0,4816.0,4816.0,4816.0
1520,75080,Subvenció Generalitat Llei de Barris El Pinar,,1306352.57,1306352.57,817203.35,
1650,75080,Altres transferències de capital de la Admón Gnral de la C.A,,,,120000.0,106358.39
3340,75080,Subvenció PUOSC Masia Can Serra,,25462.33,25462.33,,
1610,75100,Subvenció ACA Col·lector Can Xercavins,,38232.0,38232.0,,
2311,76101,Subvencions Diputació,,,,,
9200,76101,Subvenció,,42362.81,42362.81,183264.69,183264.69
9210,76101,Subvenció,,,,,
3340,76102,Subvenció reforma masia Can serra,,280000.0,280000.0,560000.0,560000.0
4330,76156,DIBA-Plat.digital Serv. Empresarials on line Net Rubi Invers,,6169.57,6169.57,6169.57,6169.57
2330,78001,Subvencions Institucions i partiuclars sense fi de lucre,,,,,
1610,79001,Feder Corredor urbà 4fase colector av. Barelona,,10935.89,10935.89,,
3360,79101,Subvencions FEDER El Celler,,52075.69,52075.69,129585.01,129585.01
4330,79700,FEDER-Plat. Digital Serv. Empres. on line Net Rubi Inversion,,12339.14,12339.14,,
,,7. TRANSFERÈNCIES DE CAPITAL,,1778746.0,1778746.0,1821038.62,990193.66
9204,83000,Préstecs i bestretes al personal,120000.0,,120000.0,,
9320,87000,Per a despeses generals.,,4680075.74,4680075.74,,
9320,87010,Per a despeses amb finançament afectat.,,10367050.29,10367050.29,,
,,8. ACTIUS FINANCERS,120000.0,15047126.03,15167126.03,,
9320,91301,Préstecs rebuts a llarg termini,,2775674.92,2775674.92,6204706.17,6204706.17
,,9. PASSIUS FINANCERS,,2775674.92,2775674.92,6204706.17,6204706.17
