#CODI_ORGANIC,CODI_ECONOMIC,APLICACIO,PRESSUPOST_INICIAL
1621,30302,Prestació del servei recollida de vidre,55000
1621,45080,GENCAT - Subvencions diverses de residus i medi ambient,0
1621,30301,Recollida residus elèctrics i electrònics,9000
1621,30200,Taxa per recollida domiciliària d'escombraries,3342351.09
1640,55001,Cànon serveis cementiri,10000
1640,30901,Taxes manteniment cementiri municipal,145000
1640,30900,Taxes de cementiri municipal,20000
1640,55002,Concessions cementiri,60000
1721,46145,DIBA - Monitorització de 16 equipaments municipals,0
1721,46143,DIBA - Projecte apadrinament zones naturals,1473
2310,46140,CONSELL COMARCAL-Ajuts de menjador escolar,386232
2310,34103,Preu públic transport adaptat disminuits,35412.82
2310,34102,Preu públic llar tutelada Ca n'Alzamora,34020
2310,46112,DIBA - Finançament dels serveis socials municipals,87499.9
2310,32500,Taxa expedició documents informe adequació habitatge,15945
23101,45002,CP Fitxa 12 Centres ocupacionals persones discapacitades,169920
23102,45002,CP Fitxa 10 Llar residència per a persones amb discapacitat,223288.8
23103,45002,CP Fitxa 1 Serveis socials bàsics professionals,528101.81
23104,45002,CP Fitxa 6 Resposta urgent dones en sit. violència i fills,33462
23105,45002,CP Fitxa 2 Intervenció socio educativa infants i adolescents,31000
23106,45002,ACCIÓ SOCIAL - CP Fitxa 1 Ajuts d'urgències socials,51275
23107,45002,CP Fitxa 7 Acollida i integració persones inmigrades,23300
23108,45002,ACCIÓ SOCIAL - CP Fitxa 8 Programa d'inclusió social,71586.13
2312,45002,Subv. Generalitat - Institut Català de la dona,34500
2312,34300,Cursos de ioga,9000
2312,46104,DIBA - Politiques d'igualtat de gènere CIRD,21000
2313,46128,DIBA - Conveni Servei de Mediació ciutadana,25000
2314,34100,Preu públic transport adaptat gent gran,22169.82
2314,46113,DIBA - Finançament dels serveis d'atenció domiciliària,87499.9
23141,45002,GENT GRAN I AMB DEPENDÈNCIA - CP Fitxa 1 SAD Dependència,722184
23142,45002,GENT GRAN DEPENDÈNCIA - CP Fitxa 9 Servei transport adaptat,40691.38
23143,45002,GENT GRAN I AMB DEPENDÈNCIA - CP Fitxa 1 SAD Social,133899.38
2410,48000,Programa SEFED,115647
2410,45300,Subvenció projecte la xarxa amb talent,0
2410,45050,GENCAT Subvencions materia ocupació (SOC),0
2410,46700,Subv. Consorci per l'ocupació i la promoc. econ del Vallès,0
2410,46136,DIBA - Promoció de l'ocupació (IMPES),67820
3110,46121,DIBA - Ajuts per a la prevenció de plagues urbanes i legione,13739.03
3110,46120,DIBA - Ajuts per al desenv. programes seguretat alimentària,11210
3110,46119,DIBA - Ajuts per al desenvolupament de programes i desenvolu,14500
3110,45080,Subv. GENCAT. Exàment salut escolar,3958.46
3110,46600,FEMP - Xarxa espanyola de ciutats saludables,0
3110,31902,Serveis de control i inspecció sanitaris en matèries de Salu,3500
3110,31903,Autoritzacions sanitàries per a la pràctica de tatuatges i/o,600
3111,31901,Taxes per inscripció d'animals de companyia,7000
3111,45080,GENCAT - Protecció d'animals de companyia (tinença d'animals,0
3260,48000,Subvencions Institucions i particulars sense fi de lucre,900
3260,34205,Casals,11000
3260,46138,DIBA - Ajuts casals d'infants d'escoles,2442
3260,45030,GENCAT - Pla educatiu de l'entorn,0
3260,46127,DIBA - Ajuts programa Coneixem els nostres parcs,1481.04
3261,34200,Preu públic escola bressol La Lluna,253479.04
3261,34201,Preu públic escola bressol Sol Solet,271225.84
3261,34202,Preu públic escola bressol la Bruna,248836.19
3261,46139,DIBA - Suport servei menjador Escola bressol,21064
3261,46148,DIBA - Progr urgència social 2013-14 línia 3 EB La Bruna,57327.8
3261,46146,DIBA - Progr urgència social 2013-14 línia 3 EB Sol Solet,58714.74
3261,46147,DIBA - Progr urgència social 2013-14 línia 3 EB La Lluna,58714.74
3261,46142,DIBA - Finançament llars d'infants municipals,0
32611,45030,GENCAT - Escola bressol Sol Solet,0
32612,45030,GENCAT - Escola bressol Lluna,0
32613,45030,GENCAT - Escola bressol Bruna,0
3262,49701,Subvenció alumnes EDRA Erasmus,0
3262,31200,Rebuts escola d'art,30993
3262,45030,Gencat Escola d'Art,0
3262,34206,Preu públic tallers d'art,41938.8
3263,46126,DIBA - Ajuts per a escoles municipals de música i arts,11000
3263,34204,Rebuts escola de música,325840.49
3321,33909,Lloguer Biblioteca,750
3330,33908,LLoguers de l'auditori El Castell,3000
3330,45080,GENCAT - Ajunt conservació pintures església de Sant Muç,0
3330,46131,DIBA- Ajuts Xarxa museu i patrimoni cultural,1500
3340,46137,DIBA - Ajuts esdeveniments artístics : RUBIFOLK,7000
3340,45080,GENCAT - Centre de Dansa Tradicional Espona,0
3342,33907,Lloguers del Teatre Municipal La Sala,4000
3342,34400,Venda d'entrades espectacles temporada,7000
3342,46135,DIBA - Programació Temporada Estable d'espectacles,2000
3342,45080,GENCAT - Temporada estable d'espectacles,0
3370,46117,DIBA - Ajuts Plans Locals de joventut,6000
3370,45080,GENCAT - Dinamització espai jove Torre Bassas,0
3380,34401,Venda d'entrades per Festa Major,4000
3380,46108,DIBA - Desenv. cultural: Cultura i proximitat,20000
3410,46110,DIBA - Ajuts per activitats esportives puntuals,4632
3410,46109,DIBA - Ajuts per al desenvolupament de programes esportius,15147
3420,46107,DIBA - Ajuts per adquisició de material esportiu,2100
3420,33911,Lloguer d'instal·lacions esportives,800
4310,46132,DIBA-Ajuts Dinamització teixit comercial (comerç),11500
4312,32500,Expedició de documents,2000
4312,46130,DIBA - Ajuts per el mercat de venda no sedentari,5000
4312,32904,Serveis de mercat,384602.94
4312,33903,Mercadal,91737.5
4312,55000,Concessions administratives,8155.73
4320,36000,Vendes botiga de Rubí,2500
4320,45080,GENCAT - Fons per al foment del turisme,4500
4320,46134,DIBA-Ajuts promoció turísitca del territori,1000
4321,46153,DIBA - Subvencions promoció de la ciutat,0
4321,46125,DIBA - Ajuts per als observatoris del desenvolupament econòm,0
4321,45050,GENCAT - Subvenció prgrama desenvolupament local,0
4321,49700,Subvenció projecte REMIDA (MED programme),0
4330,49700,FEDER Plataforma digital serv empresarials on line Net Rubí,0
4330,45080,Subv corrents de la Admón General de la C.A,0
4330,45050,GENCAT - Subvencions serveis a les empreses,0
4330,46133,DIBA - Polítiques de teixiti productiu (OSE),100000
4411,46701,AMTU-Pla de millora del transport col·lectiu urbà,240000
4411,46141,Consell Comarcal - Subvenció transport escolar,0
9120,33902,Taxa per casaments,5000
9201,39901,Reintegrament anuncis publicacions,2000
9202,45050,"GENCAT - AODL Planificació Estratègica, Promoció Econ. i Gov",0
9203,39906,Indemnitzacions per sentències judicials,1
9203,39800,Indemnitzacions assegurances,1
9203,39908,Condemna en costes a favor de l'entitat,1
9208,39907,Subministraments Club Natació Rubí,303670
9240,45002,CP Fitxa 29.1 Acció comunitari prog.desenv.comunitari,36000
9240,46155,DIBA - Subvencions societat de la informació,0
9240,34208,Preu públic cursos ateneu,10000
9240,33910,Lloguer Ateneu,600
9240,46103,DIBA - Ajuts de participació ciutadana,4000
9250,46106,DIBA - Serveis municipals de consum,15122
9261,34900,Preu públic del servei de comunicació,4000
9320,11600,Impost sobre l'increment del valor del terreny (Plus-vàlua),4199226.93
9320,52001,Interessos de derivats de préstecs,0
9320,13001,IAE quotes provincials i nacionals,300000
9320,87000,Romanent per a despeses generals.,0
9320,87010,Romanent per a despeses amb finançament afectat.,0
9320,91301,Préstecs rebuts a llarg termini,0
9320,42000,Participació en els Tributs de l'Estat.,16436760
9320,11300,Impost sobre béns immobles de naturalesa urbana,25541084.61
9320,11400,Impost sobre béns immobles de característiques especials,189000
9320,54100,Arrendaments fiques urbanes,213559.32
9320,33200,Taxa per utilit. privat. o aprofit. especial per emp.explot,1000000
9320,33800,Taxa ocupació telefònica,250000
9320,11500,Impost sobre vehicles de tracció mecànica,4500000
9320,52000,Interessos de dipòsits,320000
9320,39200,Recàrrec per declaració extemporánea sense requerimi. Previ,0
9320,38900,Reintegrament operacions corrents,0
9320,39905,Ingressos per serveis bancaris,1000
9320,39110,Multes per infraccions tributàries i anàlogues.,200000
9320,39910,Ingressos diversos procedents de regularització comptable,0
9320,39211,Recàrrec d'apressament 10% i 20%,300000
9320,39300,Interessos de demora,250000
9320,11200,Impost sobre béns immobles. béns immobles de natural rústica,4200
9320,45001,Altres transferències Generalitat de Catalunya,0
9320,42090,Revisió del cens electoral,0
9320,39902,Imprevistos,0
9320,45000,Participació en tributs de la CCAA Fons de Cooperació Local,407753.58
9320,29000,Impost sobre construcciones intal·lacions i obres,275000
9320,13000,Impost sobre activitats econòmiques,5030000
9320,46144,Consell Comarcal - Subvencions diverses,0
93201,42020,Compensació per beneficis fiscals (IBI escoles concertades),53442
93202,42020,Compensació por beneficis fiscals (IAE Cooperatives),25000
