#Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,DRN,Recaptació líquida
1330,33500,Ocupació via pública taules i cadires,86000.0,,86000.0,101301.03,101097.03
1330,33600,Talls de trànsit,5000.0,,5000.0,50091.6,50091.6
9320,33800,Taxa ocupació telefònica,250000.0,,250000.0,189600.04,189600.04
1330,33901,Taxes ocupació via pública per construcció,16000.0,,16000.0,20747.52,15301.86
9120,33902,Taxa per casaments,1000.0,,1000.0,,
4311,33903,Mercadal,96250.0,,96250.0,80516.63,64017.65
1330,33904,Parades i fires,60000.0,,60000.0,76750.76,74904.76
4321,33906,Lloguer d'espais RUBI+D,,,,68.95,68.95
3350,33907,Lloguers del Teatre Municipal La Sala,4000.0,,4000.0,10962.75,4282.25
3360,33908,LLoguers de l'auditori El Castell,3000.0,,3000.0,9479.5,9400.0
3320,33909,Lloguer Biblioteca,750.0,,750.0,397.5,397.5
9240,33910,Lloguer Ateneu,600.0,,600.0,278.25,278.25
3420,33911,Lloguer d'instal·lacions esportives,700.0,,700.0,626.2,626.2
,,TAXES,8439191.44,,8439191.44,9028416.89,8191192.3
2330,34100,Preu públic transport adaptat gent gran,36200.93,,36200.93,22076.88,20503.49
2310,34102,Preu públic llar tutelada Ca n'Alzamora,34020.0,,34020.0,34020.0,30618.0
2310,34103,Preu públic transport adaptat disminuits,33180.7,,33180.7,31593.1,27308.05
3210,34200,Preu públic escola bressol La Lluna,253014.35,,253014.35,255914.28,218517.29
3210,34201,Preu públic escola bressol Sol Solet,303498.0,,303498.0,277762.95,237164.66
3210,34202,Preu públic escola bressol la Bruna,238186.9,,238186.9,262546.4,223607.65
3222,34204,Rebuts escola de música,328099.41,,328099.41,336798.66,294216.1
3230,34205,Casals,10898.0,,10898.0,8793.0,7793.0
3221,34206,Preu públic tallers d'art,41230.6,,41230.6,42512.73,37397.08
9240,34207,Preu públic formació soc. informació,9700.0,,9700.0,2862.0,2790.0
9240,34208,Preu públic cursos ateneu,10000.0,,10000.0,6384.0,6384.0
2320,34300,Cursos de ioga,15000.0,,15000.0,8287.5,8212.5
3350,34400,Venda d'entrades espectacles temporada,7000.0,,7000.0,16620.0,16620.0
3380,34401,Venda d'entrades per Festa Major,6000.0,,6000.0,2956.0,2956.0
9261,34900,Preu públic del servei de comunicació,3000.0,,3000.0,1406.05,463.05
,,PREUS PÚBLICS,1329028.89,,1329028.89,1310533.55,1134550.87
1551,35001,CE Carrer Aneto i Altres,,60739.58,60739.58,,
1500,35003,Contribucions especials La Perla,,,,1269.42,1269.42
1552,35034,CE sector 38 Ximelis,,401319.26,401319.26,,
1551,35035,Contribucions especials carrer Guatlla,,50736.04,50736.04,,
4320,36000,Vendes botiga de Rubí,2500.0,,2500.0,3777.57,3777.57
3350,36001,Vendes de begudes Espai 14/13,,,,,
9208,36002,Subminitr instal·lació fotovoltaica (RD 661/2007) subgr b1.1,3000.0,,3000.0,,
1620,36003,Vendes de material rebutjable antiga Planta de Tritage,,,,79065.0,76565.0
9320,38900,Reintegrament operacions corrents,,2873.2,2873.2,12665.78,12665.78
15111,39100,Multes per infraccions urbanístiques.,20000.0,,20000.0,,
15112,39100,Multes coercitives urbanisme,20000.0,,20000.0,92300.0,8683.67
15113,39100,Multes de protecció de la legalitat,15000.0,,15000.0,,
17201,39100,Multes per infraccions urbanístiques.,,,,-800.0,-800.0
9320,39110,Multes per infraccions tributàries i anàlogues.,200774.83,,200774.83,119358.89,23499.19
1320,39120,Multes per infraccions de circulació,1200000.0,,1200000.0,1252617.36,513292.9
1511,39190,Multes infraccions activitats,20000.0,,20000.0,59467.49,18285.96
9320,39200,Recàrrec per declaració extemporánea sense requerimi. Previ,,,,18063.55,5602.51
9320,39211,Recàrrec d'apressament 10% i 20%,500000.0,,500000.0,211512.22,211512.22
9320,39300,Interessos de demora,115000.0,,115000.0,288140.8,259138.34
15001,39610,Quotes d'urbanització PERI 22.1,,456168.86,456168.86,-147.37,-147.37
15002,39610,Quotes urbanístiques Sector A4,,274558.92,274558.92,,
15003,39610,Quotes urbanístiques Immobiliaria Tamara,,,,38136.74,30949.55
15004,39610,Quotes d'urbanització Sant Muç,,2356529.16,2356529.16,3125.8,3125.8
15005,39610,Quotes d'urbanització Polígon 2 Subsector D-1,,975.51,975.51,,
9203,39800,Indemnitzacions assegurances,,13803.11,13803.11,41754.57,41619.92
9201,39901,Reintegrament anuncis publicacions,2000.0,,2000.0,14541.64,14541.64
9320,39902,Imprevistos,,,,12147.92,12147.92
1511,39904,Execucions subsidiàries (relacionada amb despesa),,,,424.8,424.8
9320,39905,Ingressos per serveis bancaris,1000.0,,1000.0,2425.87,2425.87
9203,39906,Indemnitzacions per sentències judicials,,,,147.45,147.45
9208,39907,Subministraments Club Natació Rubí,299986.0,,299986.0,295392.5,295392.5
9203,39908,Condemna en costes a favor de l'entitat,,,,2034.11,2034.11
9320,39910,Ingressos diversos procedents de regularització comptable,,,,421661.07,421661.07
9320,39911,Altres ingressos. Regularitz. assent. d'obertura IMCO-IMPES,,,,6139.06,6139.06
,,ALTRES,2399260.83,3617703.64,6016964.47,2975222.24,1963954.88
,,"3. TAXES, PREUS PÚBLICS I ALTRES INGRESSOS",12167481.16,3617703.64,15785184.8,13314172.68,11289698.05
4410,42000,Subvenció de l'administració central pel transport urbà,80000.0,,80000.0,,
9320,42000,Participació en els Tributs de l'Estat.,15494684.19,,15494684.19,15646692.48,15646230.81
93201,42020,Compensació per beneficis fiscals (IBI-escoles concertades),56503.0,,56503.0,170178.67,170178.67
93202,42020,Compensació por beneficis fiscals (IAE-Cooperatives),45000.0,,45000.0,49556.21,49556.21
9320,42090,Revisió del cens electoral,,,,833.79,833.79
,,ESTAT,15676187.19,,15676187.19,15867261.15,15866799.48
9320,45000,Participació en tributs de la CCAA  Fons de Cooperació Local,401879.06,,401879.06,892685.63,
9320,45001,Altres transferències Generalitat de Catalunya,1000.0,,1000.0,,
2320,45002,Subv. Generalitat - Institut Català de la dona,34500.0,,34500.0,34500.0,
2321,45002,CP Fitxa 29.1 Acció comunitari prog. desenvol. comunitari,36000.0,10000.0,46000.0,36000.0,
23101,45002,CP Fitxa 12 Centres ocupacionals persones discapacitades,169920.0,,169920.0,73741.38,
23102,45002,CP Fitxa 10 Llar residència per a persones amb discapacitat,223228.8,,223228.8,117195.12,
23103,45002,CP Fitxa 1 Serveis socials bàsics professionals,546442.69,,546442.69,282202.28,
23104,45002,CP Fitxa 6 Resposta urgent dones en sit. violència i fills,33462.0,,33462.0,33462.0,
23105,45002,CP Fitxa 2 Intervenció socio educativa infants i adolescents,31000.0,,31000.0,31000.0,
23106,45002,CP Fitxa 1 Ajuts d'urgències socials,,,,51275.0,
23107,45002,CP Fitxa 7 Acollida i integració persones inmigrades,23319.84,,23319.84,23300.0,
23108,45002,CP Fitxa 8 Programa d'inclusió social,71586.13,,71586.13,71586.13,
23301,45002,CP Fitxa 1 SAD Social,133899.38,,133899.38,53134.62,39744.69
23302,45002,CP Fitxa 9 Servei de transport adaptat,40691.85,,40691.85,40691.85,
23303,45002,CP Fitxa 1 SAD Dependència,722484.0,,722484.0,415514.86,415514.86
3221,45030,Gencat - Escola d'Art,158000.0,,158000.0,,
3230,45030,GENCAT - PLA EDUCATIU DE L'ENTORN,,,,,
32101,45030,Gencat - Escola bressol Sol Solet,103775.0,,103775.0,,
32102,45030,Gencat - Escola bressol Lluna,106225.0,,106225.0,,
32103,45030,Gencat - Escola bressol Bruna,106925.0,,106925.0,,
2410,45050,PROMOCIÓ DE L'OCUPACIÓ  Subvencions materia ocupació (IMPES),534402.0,1187646.49,1722048.49,1246406.14,1165581.19
4321,45050,GENCAT - Subvenció programa desenvolupament local,,54091.1,54091.1,50906.11,50906.11
4330,45050,GENCAT - Subvencions serveis a les empreses,,88295.0,88295.0,21851.82,21851.82
1510,45080,PUOSC - Manteniment Instal·lacions CEIP Pau Casals,,,,,
1620,45080,Gencat - Subvencions diverses de residus i medi ambient,,,,,
3130,45080,Subv. GENCAT. Exàment salut escolar,4610.58,,4610.58,4518.59,4518.59
3132,45080,GENCAT - Protecció d'animals de companyia (tinença d'animals,,,,,
3340,45080,Centre de Dansa Tradicional Espona,,,,60000.0,60000.0
3350,45080,Gencat -  Temporada estable d'espectacles,,,,580.52,580.52
3360,45080,Gencat -  Ajut consevació pintures església Sant Muç,,6919.0,6919.0,6919.0,6919.0
3370,45080,GENCAT - Dinamització del espai jove Torre Bassas,,,,10500.0,
4320,45080,GENCAT - Fons per al foment del turisme,,,,3964.15,3964.15
93205,45080,Subv Gencat interessos i amortització préstec Biblioteca,,264868.69,264868.69,264868.69,264868.69
2410,45300,Subvenció projecte la xarxa amb la talent,,,,,
,,GENERALITAT,3483351.33,1611820.28,5095171.61,3826803.89,2034449.62
1620,46101,DIBA - Programa complementari prestació adequada serveis púb,,,,105484.87,105484.87
9240,46103,DIBA - Ajuts de participació ciutadana,4000.0,,4000.0,4000.0,4000.0
2320,46104,DIBA - Politiques d'igualtat de gènere CIRD,15000.0,,15000.0,18863.73,18863.73
9250,46106,DIBA - Serveis municipals de consum,13063.0,,13063.0,12683.0,12683.0
3420,46107,DIBA - Ajuts per adquisició de material esportiu,2100.0,,2100.0,2100.0,2100.0
3380,46108,DIBA - Desenv. cultural: Cultura i proximitat,25000.0,,25000.0,14900.0,14900.0
3410,46109,DIBA - Ajuts per al desenvolupament de programes esportius,10125.0,,10125.0,10125.0,10125.0
3410,46110,DIBA - Ajuts per activitats esportives puntuals,4770.0,,4770.0,4770.0,4770.0
2310,46112,DIBA - Finançament dels serveis socials municipals,62882.1,49564.74,112446.84,246329.38,246329.38
2330,46113,DIBA - Finançament dels serveis d'atenció domiciliària,62552.96,,62552.96,49689.84,49689.84
3370,46117,DIBA - Ajuts Plans Locals de joventut,12000.0,,12000.0,12841.89,12841.89
3130,46119,DIBA - Ajuts per al desenvolupament de programes i desenvolu,7773.0,,7773.0,7773.0,7773.0
3130,46120,DIBA - Ajuts per al desenv. programes seguretat alimentària,14723.0,,14723.0,14723.0,14723.0
3130,46121,DIBA - Ajuts per a la prevenció de plagues urbanes i legione,9317.0,,9317.0,9317.0,9317.0
4321,46125,DIBA - Ajuts per als observatoris del desenvolupament local,20000.0,,20000.0,8400.0,8400.0
3222,46126,DIBA - Ajuts per a escoles municipals de música i arts,11000.0,,11000.0,21168.0,21168.0
3230,46127,"DIBA - Ajuts programa """""""" Coneixem els nostres parcs""""""""",1542.75,,1542.75,1481.04,1481.04
2321,46128,DIBA - Conveni Servei de Mediació ciutadana,25000.0,,25000.0,14250.0,14250.0
1340,46129,DIBA - Ajuts per prevenció d'incendis forestals,,,,5291.0,5291.0
4311,46130,DIBA - Ajuts per el mercat de venda no sedentari,,5000.0,5000.0,2000.0,2000.0
3360,46131,DIBA- Ajuts Xarxa museu i patrimoni cultural,1500.0,,1500.0,,
4310,46132,DIBA-Ajuts Dinamització teixit comercial (comerç),17000.0,,17000.0,13436.1,13436.1
4330,46133,DIBA - Polítiques de teixiti productiu (OSE),100000.0,,100000.0,166439.01,166439.01
4320,46134,DIBA-Ajuts promoció turísitca del territori,1000.0,,1000.0,,
3350,46135,DIBA - Programació Temporada Estable d'espectacles,2000.0,,2000.0,2841.08,2841.08
2410,46136,DIBA - Promoció de l'ocupació (IMPES),58988.0,151559.88,210547.88,203405.87,203405.87
3340,46137,DIBA - Ajuts esdeveniments artístics : RUBIFOLK,7000.0,,7000.0,3850.0,3850.0
3230,46138,DIBA -  Ajuts casals d'infants d'escoles,2442.0,,2442.0,2442.0,2442.0
3210,46139,DIBA - Suport servei menjador Escola bressol,,,,10532.0,10532.0
2310,46140,CONSELL COMARCAL-Ajuts de menjador escolar,386232.0,46002.0,432234.0,375258.55,
4410,46141,Consell Comarcal - Subvenció transport escolar,,,,19100.0,
1720,46143,DIBA - Projecte apadrinament zones naturals,,1473.0,1473.0,1699.93,1699.93
9320,46144,Consell Comarcal - Subvencions diverses,,,,73942.7,73942.7
1720,46145,DIBA - Monitorització de 16 equipaments municipals,,,,3400.0,3400.0
32101,46146,DIBA - Progr Comp finançament llars d'infants EB Sol Solet,,,,23485.9,23485.9
32102,46147,DIBA - Progr Comp finançament llars d'infants EB La Lluna,,,,23485.9,23485.9
32103,46148,DIBA - Progr Comp finançament llars d'infants EB La Bruna,,,,22931.11,22931.11
1511,46149,"DIBA, Adquisició de sonòmetres, Masia Can Serra",,,,,
4321,46153,DIBA - Promoció de la ciutat,,,,,
9240,46155,DIBA - Societat de la Informació,,,,,
3130,46600,FEMP - Xarxa espanyola ciutats saludables,3960.0,,3960.0,3960.0,3960.0
2410,46700,Subv. Consorci per l'ocupació i la promoc. econ del Vallès,,,,,
4410,46701,AMTU-Pla de millora del transport col·lectiu urbà,240000.0,,240000.0,301032.5,301032.5
,,DIPUTACIÓ,1120970.81,253599.62,1374570.43,1817433.4,1423074.85
1620,48000,Aportació Addenda conveni de recollida de roba Humana,,3100.0,3100.0,3100.0,3100.0
2410,48000,Programa SEFED,,,,115647.08,11000.0
3230,48000,Subvencions Institucions i particulars sense fi de lucre,900.0,,900.0,11952.0,11952.0
4321,49700,Subvenció projecte REMIDA (MED programme),,63113.38,63113.38,11425.81,11425.81
4330,49700,FEDER Plataforma digital serveis empresarials Rubí empresa,,,,,
,,ALTRES,900.0,66213.38,67113.38,142124.89,37477.81
,,4. TRANSFERÈNCIES CORRENTS,20281409.33,1931633.28,22213042.61,21653623.33,19361801.76
9320,52000,Interessos de dipòsits,150000.0,,150000.0,343305.13,343305.13
9320,52001,Interessos de derivats de préstecs,,,,5234.83,5234.83
9320,54100,Arrendaments fiques urbanes,190000.0,,190000.0,213559.32,177966.1
4311,55000,Concessions administratives,10000.0,,10000.0,6597.65,6065.43
1640,55001,Cànon serveis cementiri,9000.0,,9000.0,12371.41,11546.26
1640,55002,Concessions cementiri,50000.0,,50000.0,99638.45,92857.03
9203,59902,Indemnitzacions per rescabalament danys patrimonials,,,,139.2,139.2
9320,59910,Ingressos patrimonials procedents de regularització comptabl,,,,,
,,5. INGRESSOS PATRIMONIALS,409000.0,,409000.0,680845.99,637113.98
1520,75080,GENCAT - Llei de Barris El Pinar,,331781.3,331781.3,67959.0,
1550,75080,PUOSC-Urbanització C. Nou,103967.01,,103967.01,,
3230,75080,PUOSC-Adequació CEIP,93772.05,,93772.05,,
15101,75080,PUOSC - Manteniment instal·lacions i entorn CEIP,66365.01,,66365.01,,
15102,75080,PUOSC - Millora accessibilitat equipaments,222260.94,,222260.94,,
1511,76100,DIBA - adquisició de sonòmetres Masia Can Serra,,9594.0,9594.0,,
1520,76100,"DIBA, Adequació habitatge per a situacions d'emergència",,10000.0,10000.0,,
1550,76100,Subvenció Diputació Pla Xarxa de Governs Locals,789110.0,280708.34,1069818.34,,
1650,76100,Subvenció Diputació pel Pla Xarxa de Governs Locals,150000.0,30000.0,180000.0,,
1720,76100,DIBA - Subvenció reforma i rehabilitació patrimoni local,,42526.25,42526.25,8505.25,8505.25
1550,76101,DIBA - Programa complementari inversions financ. sostenibles,,181595.72,181595.72,90797.86,90797.86
1720,76101,DIBA - Subvenció millora i manteniment camins locals,,42618.63,42618.63,8523.73,8523.73
9200,76101,Subvencions Diputació,,3.75,3.75,,
1550,76102,DIBA - Programa complementari inversions financ. sostenibles,,119512.35,119512.35,59756.18,59756.18
1550,76103,DIBA - Programa complementari inversions financ. sostenibles,,191154.64,191154.64,95577.32,95577.32
2330,78001,Subvencions Institucions i particulars sense fi de lucre,,,,,
3360,79101,Subvencions FEDER El Celler,,,,,
4330,79700,FEDER - Plataforma digital serveis empresa Rubí empresa inve,,529.21,529.21,,
,,7. TRANSFERÈNCIES DE CAPITAL,1425475.01,1240024.19,2665499.2,331119.34,263160.34
9320,87000,Per a despeses generals.,,26368264.91,26368264.91,,
9320,87010,Romanent de tresoreria per a desp amb finançament afectat.,,9060064.59,9060064.59,,
,,8. ACTIUS FINANCERS,,35428329.5,35428329.5,,
9320,91301,Préstecs rebuts a llarg termini,,,,,
,,9. PASSIUS FINANCERS,,,,,
,,TOTAL INGRESSOS (ECO) 2014,74572514.37,42217690.61,116790204.98,77426191.15,69165268.73
,,,,,,,
,,,PI,DRN,,,
,,PIE (42000),15494684.19,15646692.48,,,
,,FLC (45000),401879.06,892685.63,,,
,,,,,,,
,,Contribucions especials (35),,1269.42,,,
,,Quotes especials (396),,41115.17,,,
